Id,Label,timeset,lat,lng,kind of node,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
https://www.instagram.com/stallgasse/,stallgasse,,51.526665,7.462903,a,1,2,22,16,38,22,0.01018,0.471541,0.156566,515.115491,0.082015,5,0.36018,0.38159,564.695191
https://www.instagram.com/analog.camera.film/,analog.camera.film,,,,a,1,4,,,,,,,,,,,,,
https://www.instagram.com/dobloggt/,dobloggt,,,,a,1,2,19,4,23,19,0.008792,0.471541,0.169429,720.954106,0.114788,6,0.286738,0.300201,73.29199
https://www.instagram.com/derolivenstand/,derolivenstand,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/brit.ink/,brit.ink,,,,a,1,8,3,8,11,3,0.001388,0.471541,0.105327,51.488772,0.008198,6,0.248562,0.256296,8.474982
https://www.instagram.com/dschuliaenna/,dschuliaenna,,,,a,1,7,2,7,9,2,0.000925,0.471541,0.140047,102.975185,0.016395,5,0.312229,0.338418,1204.8928
https://www.instagram.com/familybiene/,familybiene,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/fridaysforfuture.de/,fridaysforfuture.de,,,,a,1,7,103,11,114,103,0.047663,0.471541,0.199378,1941.89824,0.309183,6,0.262614,0.278356,10675.170977
https://www.instagram.com/fridaysforfuture.europe/,fridaysforfuture.europe,,,,a,1,7,8,8,16,8,0.003702,0.471541,0.154601,102.733894,0.016357,6,0.263447,0.278897,102.851731
https://www.instagram.com/greenpeacejugend/,greenpeacejugend,,,,a,1,7,14,7,21,14,0.006478,0.471541,0.155552,155.154512,0.024703,6,0.231486,0.245448,124.846004
https://www.instagram.com/unionkinobochum/,unionkinobochum,,51.476749,7.217212,a,1,6,8,2,10,8,0.003702,0.471541,0.150063,360.434301,0.057387,6,0.265031,0.276582,31.927989
https://www.instagram.com/greensnakemoan/,greensnakemoan,,,,a,1,0,8,10,18,8,0.003702,0.471541,0.1214,102.743104,0.016358,7,0.230794,0.243569,6178.496421
https://www.instagram.com/wirliebenhombruch/,wirliebenhombruch,,,,a,1,1,3,1,4,3,0.001388,0.471541,0.127997,154.468938,0.024594,7,0.208756,0.213678,38.039688
https://www.instagram.com/claud.thermann/,claud.thermann,,,,a,1,7,4,10,14,4,0.001851,0.471541,0.120698,0,0,6,0.269192,0.285633,68.504442
https://www.instagram.com/charm.wu/,charm.wu,,,,a,1,4,,,,,,,,,,,,,
https://www.instagram.com/masatoshi_nakazawa/,masatoshi_nakazawa,,,,a,1,4,,,,,,,,,,,,,
https://www.instagram.com/is_it_eli/,is_it_eli,,,,a,1,3,2,8,10,2,0.000925,0.471541,0.124676,51.51261,0.008202,5,0.345434,0.364367,2.748886
https://www.instagram.com/establishmensch/,establishmensch,,,,a,1,7,8,12,20,8,0.003702,0.471541,0.16495,154.537692,0.024605,6,0.265552,0.278981,5903.150866
https://www.instagram.com/nola_nordstadtlastenrad/,nola_nordstadtlastenrad,,,,a,1,2,11,9,20,11,0.00509,0.471541,0.148946,206.067893,0.032809,5,0.323063,0.348966,48.560404
https://www.instagram.com/velike.vegan/,velike.vegan,,,,a,1,7,5,3,8,5,0.002314,0.471541,0.144164,99.492842,0.015841,6,0.249884,0.266883,20.868772
https://www.instagram.com/ms_esrita/,ms_esrita,,,,a,1,1,6,5,11,6,0.002776,0.471541,0.149642,154.523604,0.024603,7,0.227297,0.237,237.701546
https://www.instagram.com/basewood_/,basewood_,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/chloessevigny/,chloessevigny,,,,a,1,3,21,3,24,21,0.009718,0.471541,0.167772,256.025034,0.040764,8,0.170092,0.177574,2743.919145
https://www.instagram.com/ruhr24gmbh/,ruhr24gmbh,,51.513948,7.462793,a,1,2,7,3,10,7,0.003239,0.471541,0.137995,154.486551,0.024597,6,0.260147,0.272253,112.010084
https://www.instagram.com/hotelmariakapel/,hotelmariakapel,,52.641796,5.060509,a,1,3,11,10,21,11,0.00509,0.471541,0.1367,103.428079,0.016467,7,0.234604,0.249372,78.627105
https://www.instagram.com/kunstmuseum.nl/,kunstmuseum.nl,,,,a,1,3,23,11,34,23,0.010643,0.471541,0.15937,517.79796,0.082442,7,0.23514,0.252636,173.396441
https://www.instagram.com/stichtingtaak/,stichtingtaak,,,,a,1,3,6,15,21,6,0.002776,0.471541,0.131897,103.854397,0.016535,6,0.245706,0.261042,933.515047
https://www.instagram.com/karindrawings/,karindrawings,,,,a,1,7,5,4,9,5,0.002314,0.471541,0.14867,51.513355,0.008202,7,0.219803,0.230656,24.081221
https://www.instagram.com/_selbstbestimmt_studieren_/,_selbstbestimmt_studieren_,,,,a,1,7,2,5,7,2,0.000925,0.471541,0.140128,51.513355,0.008202,6,0.252898,0.270918,12.214214
https://www.instagram.com/europeanparliament/,europeanparliament,,50.838795,4.375304,a,1,7,16,5,21,16,0.007404,0.471541,0.166493,255.321374,0.040651,8,0.184932,0.199125,1161.042232
https://www.instagram.com/bambus_liebe/,bambus_liebe,,,,a,1,7,12,3,15,12,0.005553,0.471541,0.145783,514.787167,0.081963,5,0.310836,0.335787,1694.051483
https://www.instagram.com/myplantdrink.de/,myplantdrink.de,,,,a,1,7,3,9,12,3,0.001388,0.471541,0.141241,154.757785,0.02464,6,0.257235,0.276204,13.955141
https://www.instagram.com/eeat_the_rainbow/,eeat_the_rainbow,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/hawos.gmbh/,hawos.gmbh,,,,a,1,7,3,7,10,3,0.001388,0.471541,0.142836,150.592789,0.023977,5,0.310791,0.336605,25.705129
https://www.instagram.com/hellogreeneye/,hellogreeneye,,,,a,1,7,3,5,8,3,0.001388,0.471541,0.140579,51.513355,0.008202,5,0.310078,0.3351,101.40221
https://www.instagram.com/atelier_snagowski/,atelier_snagowski,,48.79621,8.434479,a,1,6,4,2,6,4,0.001851,0.471541,0.141992,51.511289,0.008201,6,0.260241,0.269622,284.009835
https://www.instagram.com/marplesdortmund/,marplesdortmund,,51.529811,7.417656,a,1,1,8,1,9,8,0.003702,0.471541,0.149595,257.548015,0.041006,6,0.273973,0.285772,9.267994
https://www.instagram.com/ellekehageman/,ellekehageman,,,,a,1,3,2,10,12,2,0.000925,0.471541,0.124546,51.51261,0.008202,7,0.216715,0.228294,115.492691
https://www.instagram.com/erdlik/,erdlik,,,,a,1,3,2,6,8,2,0.000925,0.471541,0.106802,48.799118,0.00777,6,0.275124,0.287809,466.845833
https://www.instagram.com/artlessmagazine/,artlessmagazine,,,,a,1,3,2,6,8,2,0.000925,0.471541,0.099668,51.69532,0.008231,6,0.263801,0.276196,13.82075
https://www.instagram.com/hebammenadja/,hebammenadja,,51.473655,7.458149,a,1,1,3,3,6,3,0.001388,0.471541,0.1119,103.004532,0.0164,7,0.226962,0.235274,1022.55882
https://www.instagram.com/food.lab.home/,food.lab.home,,,,a,1,7,2,8,10,2,0.000925,0.471541,0.140662,103.980152,0.016555,7,0.237258,0.251717,343.397996
https://www.instagram.com/betti_blume/,betti_blume,,,,a,1,6,,,,,,,,,,,,,
https://www.instagram.com/diehutfabrik/,diehutfabrik,,,,a,1,6,,,,,,,,,,,,,
https://www.instagram.com/doertedelacruz_official/,doertedelacruz_official,,,,a,1,7,,,,,,,,,,,,,
https://www.instagram.com/lima_ateliers/,lima_ateliers,,,,a,1,3,2,3,5,2,0.000925,0.471541,0.10254,51.931976,0.008268,6,0.261818,0.27189,113.716597
https://www.instagram.com/_son.bo/,_son.bo,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/atlaselectronic/,atlaselectronic,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/bluenoterecords/,bluenoterecords,,,,a,1,0,15,4,19,15,0.006941,0.472004,0.128832,205.640309,0.032741,1,1,1,123.968984
https://www.instagram.com/cocomaria___/,cocomaria___,,,,a,1,0,3,7,10,3,0.001388,0.472004,0.122536,102.999534,0.016399,1,1,1,12.202256
https://www.instagram.com/contacttokyo/,contacttokyo,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/danleysoundlabsuk/,danleysoundlabsuk,,,,a,1,0,2,4,6,2,0.000925,0.472004,0.12207,51.513609,0.008202,1,1,1,16
https://www.instagram.com/bautzfestival/,bautzfestival,,51.218116,7.639551,a,1,0,2,5,7,2,0.000925,0.471541,0.12085,51.513609,0.008202,7,0.219579,0.228697,50.914368
https://www.instagram.com/birchbabenaturals/,birchbabenaturals,,,,a,1,7,,,,,,,,,,,,,
